"URL", "sentence","ERROR_TYPE", "POSITION_START_INDEX","POSITION_END_INDEX"
"http://igor.artyushenko.com.ua/", " обратился к избирателям, передает корреспондент портала «запорожье. комментарии» опубліковано·24 жов", "LANGUAGE", 853, 954
"http://igor.artyushenko.com.ua/", " старое новая публикация http://zp.comments.ua/news/2014/10/21/132020.html  опубліковано·21 жов", "LANGUAGE", 1047, 1142
"http://igor.artyushenko.com.ua/home", " обратился к избирателям, передает корреспондент портала «запорожье. комментарии» опубліковано·24 жов", "LANGUAGE", 853, 954
"http://igor.artyushenko.com.ua/home", " старое новая публикация http://zp.comments.ua/news/2014/10/21/132020.html  опубліковано·21 жов", "LANGUAGE", 1047, 1142
"http://igor.artyushenko.com.ua/hot-news-1", " старое опубліковано 21 жовт. 2014 08:04 bogdan artyushenko   [ оновлено 21 жов", "LANGUAGE", 2213, 2292
"http://igor.artyushenko.com.ua/hot-news-1", " проекта "віра, надія рятує" вместе с благотворительны", "LANGUAGE", 5017, 5071
"http://igor.artyushenko.com.ua/events", " телекритика / 22.01.2014 "честно" о мажоритарны", "LANGUAGE", 1136, 1184
"http://igor.artyushenko.com.ua/hot-news-1/master-klasspoizgotovleniuangelov-oberegov", " проекта "віра, надія рятує" вместе с благотворительны", "LANGUAGE", 256, 310
"http://igor.artyushenko.com.ua/hot-news-1/igorartusenkobyvsihneprosaut", " обратился к избирателям, передает корреспондент портала «запорожье. комментарии» comment", "LANGUAGE", 297, 386
"http://igor.artyushenko.com.ua/hot-news-1/igorartusenkoctobynacatcto-tonovoemydolznyubratstaroe", " старое опубліковано 21 жовт. 2014 08:04 bogdan artyushenko   [ оновлено 21 жов", "LANGUAGE", 186, 265
"http://igor.artyushenko.com.ua/system/app/pages/reportAbuse", " to content on this site and woul", "LANGUAGE", 180, 213
